event_start,belief_time,source,cumulative_probability,event_value
2015-03-01 09:00:00+00:00,2015-02-26 09:00:00+00:00,Random forest,0.05,5.20199414075
2015-03-01 09:00:00+00:00,2015-02-26 09:00:00+00:00,Random forest,0.5,7.608703124999998
2015-03-01 09:00:00+00:00,2015-02-26 09:00:00+00:00,Random forest,0.95,10.300924478750002
2015-03-01 09:00:00+00:00,2015-02-26 10:00:00+00:00,Random forest,0.05,5.49169921875
2015-03-01 09:00:00+00:00,2015-02-26 10:00:00+00:00,Random forest,0.5,7.5287343749999955
2015-03-01 09:00:00+00:00,2015-02-26 10:00:00+00:00,Random forest,0.95,10.9403906225
2015-03-01 09:00:00+00:00,2015-02-26 11:00:00+00:00,Random forest,0.05,4.9302734375
2015-03-01 09:00:00+00:00,2015-02-26 11:00:00+00:00,Random forest,0.5,7.868234374999996
2015-03-01 09:00:00+00:00,2015-02-26 11:00:00+00:00,Random forest,0.95,11.3135612
2015-03-01 09:00:00+00:00,2015-02-26 12:00:00+00:00,Random forest,0.05,5.410520833500001
2015-03-01 09:00:00+00:00,2015-02-26 12:00:00+00:00,Random forest,0.5,8.015406249999998
2015-03-01 09:00:00+00:00,2015-02-26 12:00:00+00:00,Random forest,0.95,11.429664062500002
2015-03-01 09:00:00+00:00,2015-02-26 13:00:00+00:00,Random forest,0.05,5.62750651025
2015-03-01 09:00:00+00:00,2015-02-26 13:00:00+00:00,Random forest,0.5,7.720171874999995
2015-03-01 09:00:00+00:00,2015-02-26 13:00:00+00:00,Random forest,0.95,12.35882552
2015-03-01 09:00:00+00:00,2015-02-26 14:00:00+00:00,Random forest,0.05,5.135845052
2015-03-01 09:00:00+00:00,2015-02-26 14:00:00+00:00,Random forest,0.5,7.578812499999998
2015-03-01 09:00:00+00:00,2015-02-26 14:00:00+00:00,Random forest,0.95,12.5774453125
2015-03-01 09:00:00+00:00,2015-02-26 15:00:00+00:00,Random forest,0.05,5.2912265625
2015-03-01 09:00:00+00:00,2015-02-26 15:00:00+00:00,Random forest,0.5,7.856531249999996
2015-03-01 09:00:00+00:00,2015-02-26 15:00:00+00:00,Random forest,0.95,12.258843007500001
2015-03-01 09:00:00+00:00,2015-02-26 16:00:00+00:00,Random forest,0.05,5.1353372395
2015-03-01 09:00:00+00:00,2015-02-26 16:00:00+00:00,Random forest,0.5,7.700531249999998
2015-03-01 09:00:00+00:00,2015-02-26 16:00:00+00:00,Random forest,0.95,11.546083983
2015-03-01 09:00:00+00:00,2015-02-26 17:00:00+00:00,Random forest,0.05,5.65996940125
2015-03-01 09:00:00+00:00,2015-02-26 17:00:00+00:00,Random forest,0.5,7.827890624999998
2015-03-01 09:00:00+00:00,2015-02-26 17:00:00+00:00,Random forest,0.95,12.761865885
2015-03-01 09:00:00+00:00,2015-02-26 18:00:00+00:00,Random forest,0.05,5.1471028645
2015-03-01 09:00:00+00:00,2015-02-26 18:00:00+00:00,Random forest,0.5,8.109578124999999
2015-03-01 09:00:00+00:00,2015-02-26 18:00:00+00:00,Random forest,0.95,13.180874350000002
2015-03-01 09:00:00+00:00,2015-02-26 19:00:00+00:00,Random forest,0.05,5.0779541015
2015-03-01 09:00:00+00:00,2015-02-26 19:00:00+00:00,Random forest,0.5,7.866171874999997
2015-03-01 09:00:00+00:00,2015-02-26 19:00:00+00:00,Random forest,0.95,12.314925129999999
2015-03-01 09:00:00+00:00,2015-02-26 20:00:00+00:00,Random forest,0.05,5.487345052
2015-03-01 09:00:00+00:00,2015-02-26 20:00:00+00:00,Random forest,0.5,7.950718749999996
2015-03-01 09:00:00+00:00,2015-02-26 20:00:00+00:00,Random forest,0.95,11.3243776025
2015-03-01 09:00:00+00:00,2015-02-26 21:00:00+00:00,Random forest,0.05,5.387765625
2015-03-01 09:00:00+00:00,2015-02-26 21:00:00+00:00,Random forest,0.5,8.062015624999997
2015-03-01 09:00:00+00:00,2015-02-26 21:00:00+00:00,Random forest,0.95,11.5939804675
2015-03-01 09:00:00+00:00,2015-02-26 22:00:00+00:00,Random forest,0.05,5.700862909249999
2015-03-01 09:00:00+00:00,2015-02-26 22:00:00+00:00,Random forest,0.5,7.861124999999996
2015-03-01 09:00:00+00:00,2015-02-26 22:00:00+00:00,Random forest,0.95,11.77221354125
2015-03-01 09:00:00+00:00,2015-02-26 23:00:00+00:00,Random forest,0.05,5.1098398437500006
2015-03-01 09:00:00+00:00,2015-02-26 23:00:00+00:00,Random forest,0.5,7.907624999999994
2015-03-01 09:00:00+00:00,2015-02-26 23:00:00+00:00,Random forest,0.95,11.1536210925
2015-03-01 09:00:00+00:00,2015-02-27 00:00:00+00:00,Random forest,0.05,5.3010703125
2015-03-01 09:00:00+00:00,2015-02-27 00:00:00+00:00,Random forest,0.5,8.059874999999995
